anime_id,title_romaji,title_english,title_native,season,season_year,type,format,status,episodes,duration,average_score,popularity,favorites,genres,country,source_material,studio,start_year,start_month,start_day
666,JoJo no Kimyou na Bouken,JoJo's Bizarre Adventure,ジョジョの奇妙な冒険,FALL,1993.0,ANIME,OVA,FINISHED,6.0,35,73,45309,902,"Action, Adventure, Drama, Horror, Supernatural",JP,MANGA,APPP,1993,11.0,19.0
667,Kashimashi: Girl Meets Girl,Girl Meets Girl,かしまし〜ガール・ミーツ・ガール〜,WINTER,2006.0,ANIME,TV,FINISHED,12.0,24,62,11103,109,"Comedy, Drama, Romance, Slice of Life",JP,MANGA,Studio Hibari,2006,1.0,12.0
668,Koi Koi 7,Koi Koi Seven,こいこい7,SPRING,2005.0,ANIME,TV,FINISHED,13.0,25,52,3751,28,"Comedy, Ecchi, Mecha, Romance",JP,MANGA,Studio Flag,2005,4.0,2.0
669,Kujibiki Unbalance,,くじびきアンバランス,WINTER,2004.0,ANIME,OVA,FINISHED,3.0,25,56,3355,4,"Comedy, Romance",JP,OTHER,Palm Studio,2004,12.0,22.0
670,Lamune,,ラムネ,FALL,2005.0,ANIME,TV,FINISHED,12.0,24,63,7428,39,"Drama, Romance, Slice of Life",JP,VISUAL_NOVEL,Trinet Entertainment,2005,10.0,11.0
671,Lemon Angel Project,,レモン エンジェル プロジェクト,WINTER,2006.0,ANIME,TV,FINISHED,13.0,24,58,2194,6,"Drama, Music",JP,OTHER,Radix,2006,1.0,6.0
673,Mai-HiME Specials,My-Hime Specials,舞-HiME,WINTER,2005.0,ANIME,SPECIAL,FINISHED,27.0,1,62,2176,8,Comedy,JP,ORIGINAL,,2005,1.0,28.0
675,ONE: Kagayaku Kisetsu e,One: Kagayaku Kisetsu e,ONE ～輝く季節へ～,SUMMER,2001.0,ANIME,OVA,FINISHED,4.0,27,45,1582,14,"Drama, Romance",JP,VISUAL_NOVEL,Triple X,2001,8.0,10.0
676,Refrain Blue,,Refrain Blue,SUMMER,2000.0,ANIME,OVA,FINISHED,3.0,30,50,1084,4,"Drama, Ecchi, Romance",JP,VISUAL_NOVEL,,2000,6.0,23.0
677,Sentimental Journey,,センチメンタルジャーニー,SPRING,1998.0,ANIME,TV,FINISHED,12.0,20,64,2201,27,"Drama, Romance",JP,VISUAL_NOVEL,Sunrise,1998,4.0,8.0
678,Eigi: SHADOW SKILL,,影技 SHADOW SKILL,SUMMER,1998.0,ANIME,TV,FINISHED,26.0,25,66,3076,29,"Adventure, Drama, Fantasy",JP,MANGA,Studio DEEN,1998,7.0,2.0
